,product_name,prev_price,curr_price,special_offer,image_url,category,sub-category
15,15cm Animotsu Rainbow Rose Gold Chihuahu,€ 13.75,€ 13.06,NA,https://www.greens.com.mt/media/products/0134/5027148024762.jpg,Household,Valentines
16,15cm Animotsu Unikitten,€ 11.95,€ 11.35,NA,https://www.greens.com.mt/media/products/0432/5027148022560.jpg,Household,Valentines
17,19 Crimes Cabernet Sauvignon,€ 10.99,€ 10.55,NA,https://www.greens.com.mt/media/products/1122/9311220005517.jpg,Winecellar,Foreign Wines
18,19 Crimes Chardonnay,€ 10.99,€ 10.55,NA,https://www.greens.com.mt/media/products/1122/9311220005685.jpg,Winecellar,Foreign Wines
19,19 Crimes Red Wine,€ 10.99,€ 10.55,NA,https://www.greens.com.mt/media/products/1122/9311220004343.jpg,Winecellar,Foreign Wines
20,19 Crimes Snoop Dog Cali Red 75cl,€ 12.99,€ 12.47,NA,https://www.greens.com.mt/media/products/0207/9311220008358.jpg,Winecellar,Foreign Wines
21,19 Crimes Snoop Dog Cali Rose 750ml,€ 12.99,€ 12.32,NA,https://www.greens.com.mt/media/products/noimages.jpg,Winecellar,Foreign Wines
22,19 Crimes The Banished 75cl,€ 10.99,€ 10.55,NA,https://www.greens.com.mt/media/products/1034/9311220005180.jpg,Winecellar,Foreign Wines
23,19 Crimes The Uprising 75cl,€ 10.99,€ 10.55,NA,https://www.greens.com.mt/media/products/1034/9311220005661.jpg,Winecellar,Foreign Wines
24,2.8lt Sq Food/s 80100590171 Hei1714,€ 3.50,€ 3.40,NA,https://www.greens.com.mt/media/products/0144/8010059017142.jpg,Household,Kitchen Essentials
25,"2lt.,rect Food/s 8010059017 Hei1711",€ 3.75,€ 3.64,NA,https://www.greens.com.mt/media/products/0144/8010059017111.jpg,Household,Kitchen Essentials
26,3 Leaves Anchovies Jar 100g,NA,€ 1.89,NA,https://www.greens.com.mt/media/products/0933/5350477001389.jpg,Groceries,Tinned Fish
27,3 Leaves Anchovies Small 45g,NA,€ 0.92,NA,https://www.greens.com.mt/media/products/0933/5350477001396.jpg,Groceries,Tinned Fish
28,3 Leaves Butter Beans 400g,NA,€ 0.90,NA,https://www.greens.com.mt/media/products/1122/5350477001754.jpg,Groceries,Legumees
29,3 Leaves Cannellin 400g,NA,€ 0.90,NA,https://www.greens.com.mt/media/products/1122/5350477001730.jpg,Groceries,Tinned Vegetables
30,3 Leaves Capers 1000g,NA,€ 4.98,NA,https://www.greens.com.mt/media/products/0632/5350477001266.jpg,Groceries,Tinned Vegetables
31,3 Leaves Capers 420g,NA,€ 2.29,NA,https://www.greens.com.mt/media/products/0632/5350477001273.jpg,Groceries,Tinned Vegetables
32,3 Leaves Chamomile Tea 15 + 5 30% Off,NA,€ 0.65,NA,https://www.greens.com.mt/media/products/1204/5350477003055.jpg,Groceries,Flavoured Tea
33,3 Leaves Corned Beef 200g,NA,€ 2.35,NA,https://www.greens.com.mt/media/products/0156/5350477000139.jpg,Groceries,Tinned Meat
34,3 Leaves Corned Beef 340g,NA,€ 3.41,NA,https://www.greens.com.mt/media/products/0156/5350477000146.jpg,Groceries,Tinned Meat
35,3 Leaves Four Beans 400g,NA,€ 0.90,NA,https://www.greens.com.mt/media/products/1122/5350477001761.jpg,Groceries,Tinned Vegetables
36,3 Leaves Gherkins 360g,€ 2.30,€ 2.09,NA,https://www.greens.com.mt/media/products/0900/5350477001334.jpg,Groceries,Pickles and Chutney
37,3 Leaves Grinders 4 Peppercorn Mix 45g,€ 3.45,€ 3.25,NA,https://www.greens.com.mt/media/products/0202/5350477001167.jpg,Groceries,Salt and Pepper
38,3 Leaves Grinders Black Peppercorn 45g,NA,€ 2.69,NA,https://www.greens.com.mt/media/products/0202/5350477001181.jpg,Groceries,Salt and Pepper
39,"3 Leaves Grinders Himalayan Salt, 100g",€ 2.79,€ 2.62,NA,https://www.greens.com.mt/media/products/0202/5350477001174.jpg,Groceries,Salt and Pepper
40,"3 Leaves Grinders Sea Salt, 110g",€ 2.44,€ 2.30,NA,https://www.greens.com.mt/media/products/0202/5350477001198.jpg,Groceries,Salt and Pepper
41,3 Leaves Himalayan Bag Coarse 500g,NA,€ 1.60,NA,https://www.greens.com.mt/media/products/1001/5350477001488.jpg,Groceries,Salt and Pepper
42,3 Leaves Himalayan Bag Fine 500g,NA,€ 1.60,NA,https://www.greens.com.mt/media/products/0900/5350477001495.jpg,Groceries,Salt and Pepper
43,3 Leaves Honey Jar 250g,NA,€ 2.48,NA,https://www.greens.com.mt/media/products/0152/5350477000009.jpg,Groceries,Honey and Syrup
